bandwidth,error_rate,throughput,ptr,delay
1.5,0.001,22516.88,0.9895732298739088,0.44513743238519765
1.5,0.002,22340.24,0.9963090551181102,0.5182376222459861
1.5,0.003,22218.8,0.9955500618046972,0.5207194926895963
1.5,0.004,22119.44,0.9835623159960746,0.522394357172362
1.5,0.005,21871.04,0.9954796584630838,0.5304473508920277
1.5,0.006,21661.28,0.9734688817257625,0.5064423290787061
1.5,0.007,21584.0,0.9829145728643216,0.500747100592535
1.5,0.008,21451.52,0.9888097660223805,0.5698768487376535
1.5,0.009,21363.2,0.9767911200807265,0.49688749302221086
1.5,0.01,21142.4,0.9750636132315522,0.5326448053363779
55.0,0.001,22516.88,0.9895732298739088,0.44513743238519765
55.0,0.002,22340.24,0.9963090551181102,0.5182376222459861
55.0,0.003,22218.8,0.9955500618046972,0.5207194926895963
55.0,0.004,22119.44,0.9835623159960746,0.522394357172362
55.0,0.005,21871.04,0.9954796584630838,0.5304473508920277
55.0,0.006,21661.28,0.9734688817257625,0.5064423290787061
55.0,0.007,21584.0,0.9829145728643216,0.500747100592535
55.0,0.008,21451.52,0.9888097660223805,0.5698768487376535
55.0,0.009,21363.2,0.9767911200807265,0.49688749302221086
55.0,0.01,21142.4,0.9750636132315522,0.5326448053363779
155.0,0.001,22516.88,0.9895732298739088,0.44513743238519765
155.0,0.002,22340.24,0.9963090551181102,0.5182376222459861
155.0,0.003,22218.8,0.9955500618046972,0.5207194926895963
155.0,0.004,22119.44,0.9835623159960746,0.522394357172362
155.0,0.005,21871.04,0.9954796584630838,0.5304473508920277
155.0,0.006,21661.28,0.9734688817257625,0.5064423290787061
155.0,0.007,21584.0,0.9829145728643216,0.500747100592535
155.0,0.008,21451.52,0.9888097660223805,0.5698768487376535
155.0,0.009,21363.2,0.9767911200807265,0.49688749302221086
155.0,0.01,21142.4,0.9750636132315522,0.5326448053363779
